ngram,distance,timestamp,corpus,tokens,mfw_min_grid,mfw_max_grid,n_mfw_used,mean_ari_hclust,median_ari_hclust,sd_ari_hclust,mean_ari_kmeans,median_ari_kmeans,sd_ari_kmeans
2,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
3,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
4,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
1,delta,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,simple,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7993463865082675,0.8039081018546197,0.02306294040178507,0.7755387459592042,0.7956513351641652,0.06913120128943483
